Hylak_id,Lake_area,glacier_lake_id,rgi_name,area0_km2,lat,lon
1275315,0.22,107464,Scandinavia,0.25393419035884,61.6742,6.33788
483657,0.18,23840,Arctic Canada South,0.185819135725907,64.294,-65.7877
219684,0.37,18810,Arctic Canada South,0.534884864227683,70.7872,-73.4543
1277134,0.39,107905,Scandinavia,0.429918051855309,61.4379,8.25856
1170364,0.15,35505,Scandinavia,0.138702959885171,69.7846,19.674
588093,0.27,27230,Alaska,0.374387933297883,61.5428,-142.996
159677,2.05,106477,North Asia,2.281095058149859,57.6017,160.489
469242,0.14,23700,Arctic Canada South,0.136930335426296,64.6226,-65.8974
573990,0.2,27160,Alaska,0.460711896348072,61.9045,-143.323
731805,0.56,10033,Alaska,0.554621230408041,57.5976,-126.906
1049199,0.37,1731,Western Canada and USA,0.358054388238957,43.1151,-109.638
989851,0.43,4912,Western Canada and USA,0.396207490813299,48.6232,-113.718
1194652,0.19,35793,Scandinavia,0.168332342853721,68.4078,17.5977
1200213,0.31,109317,Scandinavia,0.351606336106457,68.0785,17.6574
864019,0.42,2466,Western Canada and USA,0.41771204142055,53.4851,-120.829
1216878,0.49,34758,Scandinavia,0.514213097018814,66.6406,13.651
675730,0.22,29837,Alaska,0.177027309884341,59.2761,-135.238
1381937,0.18,92902,South Asia East,0.232816817004354,28.0075,88.5717
1379930,0.71,94404,Central Asia,0.657818406003008,29.4051,93.7077
1277502,0.48,107948,Scandinavia,0.67881986703675,61.4002,8.57137
60292,6.34,26876,Alaska,26.8360279172,60.2857,-143.905
1269905,0.18,34328,Scandinavia,0.201540054379205,62.1906,8.02965
1277268,0.2,107742,Scandinavia,0.277184620261737,61.4154,6.49561
241610,0.46,18461,Arctic Canada South,0.516658797142773,70.0068,-74.5652
559274,0.37,23060,Arctic Canada South,0.405242226612833,62.3112,-66.9453
658966,0.26,29772,Alaska,0.42252268314851,59.7173,-135.428
155666,1.07,107048,Scandinavia,1.211000860272103,60.6393,7.19049
507170,0.21,110329,Arctic Canada South,0.274630485820899,63.6891,-64.8568
696807,0.15,30044,Alaska,0.169483643421481,58.6539,-134.776
1199262,0.25,35445,Scandinavia,0.210807634766232,68.1371,18.6648
153840,1.47,107413,Scandinavia,1.549325012638723,61.7033,5.31345
681239,0.24,29866,Alaska,0.250352190305567,59.121,-135.181
1271520,0.35,34405,Scandinavia,0.327741837367099,62.0518,8.11983
1283142,0.22,107196,Scandinavia,0.31089469282245,60.612,7.81529
1111487,0.12,15014,Southern Andes,0.145183134112584,-36.6247,-71.2044
65661,1.82,29999,Alaska,1.815797235231559,58.8742,-134.858
925531,0.29,4607,Western Canada and USA,0.286778210168881,51.5119,-116.111
1339095,0.25,96301,North Asia,0.354158132215134,49.9065,86.5461
1210004,0.17,34995,Scandinavia,0.172827053724306,67.3189,16.0222
737966,0.23,26217,Alaska,0.178995606913361,57.3855,-153.199
660676,0.42,28924,Alaska,0.382285844569879,59.6644,-138.017
1283171,0.5,107280,Scandinavia,0.576205330019807,60.6105,7.43646
1270471,0.45,34367,Scandinavia,0.471410841279961,62.1443,8.06622
1169009,0.23,109680,Scandinavia,0.924012702148326,69.9021,19.3258
1208647,0.48,34977,Scandinavia,0.425450107496204,67.4368,15.9516
1192942,0.25,108983,Scandinavia,0.27272462387632,68.5052,15.9804
46529,3.4,24540,Arctic Canada South,3.445712935105422,63.9554,-65.1008
1270000,0.38,34228,Scandinavia,0.398966185865134,62.185,7.90308
1203591,0.8,109200,Scandinavia,0.897538861724659,67.8452,18.217
252096,0.18,25019,Arctic Canada South,0.320938078920071,69.6981,-72.8361
1271636,0.23,107520,Scandinavia,0.266854245439921,62.0452,6.60866
122198,2.79,15107,Southern Andes,8.903034969392417,-35.1804,-70.5643
1281878,0.36,33886,Scandinavia,0.250368635542261,60.7877,7.43407
141897,2.04,34801,Scandinavia,1.966141250652715,66.7978,14.0809
1287526,0.2,33448,Scandinavia,0.185917340633316,60.068,6.31948
1165889,0.21,35806,Scandinavia,0.221259097690197,70.1641,20.6911
1089847,0.46,8953,Low Latitudes,0.403865921321779,-10.2377,-76.9561
901129,0.25,4242,Western Canada and USA,0.227652599971782,52.3391,-116.857
4794,12.32,31251,Alaska,12.435331226,59.8339,-136.043
1378462,0.57,90932,Central Asia,1.253185519827613,30.2554,82.2088
1190493,0.17,109458,Scandinavia,0.229972152658231,68.6334,17.4707
481313,0.44,23959,Arctic Canada South,0.430200910701484,64.3438,-65.6882
1275637,0.28,34203,Scandinavia,0.240674429683018,61.6418,7.86621
1270239,0.16,34090,Scandinavia,0.116381279808121,62.171,7.69342
1090961,0.91,105304,Low Latitudes,1.053212813549381,-11.5571,-74.9146
242571,0.18,18516,Arctic Canada South,0.347862949660912,69.9799,-74.4422
535716,0.75,8296,Western Canada and USA,0.701803381397139,62.9385,-129.974
510227,0.28,24708,Arctic Canada South,0.301613294960447,63.6113,-64.7758
491325,0.26,23772,Arctic Canada South,0.315288482133636,64.0986,-65.8598
1195961,0.43,109383,Scandinavia,0.421832180370403,68.3304,18.1218
644385,0.96,27993,Alaska,1.086665995508402,60.0705,-140.987
1268040,0.62,108340,Scandinavia,0.692785207258836,62.3421,8.98671
904025,0.65,4235,Western Canada and USA,0.68562726173562,52.2375,-116.868
655207,0.4,29528,Alaska,0.373422856197214,59.806,-136.068
1048866,0.38,1668,Western Canada and USA,0.398529534581213,43.2552,-109.695
1190089,0.22,109509,Scandinavia,0.304510001208805,68.6513,18.1034
755924,0.15,30546,Alaska,0.167900145604985,56.7779,-132.082
512740,0.29,24783,Arctic Canada South,0.286732946476256,63.5394,-64.6711
730141,0.69,8124,Western Canada and USA,0.688831748184277,57.641,-124.487
1290240,0.57,106938,Scandinavia,0.642692934952838,59.7666,7.00925
1264726,0.24,108158,Scandinavia,0.262316880662094,62.6014,8.26108
173832,1.77,114262,Central Asia,2.043716316266813,37.357,73.8315
1201646,0.22,109321,Scandinavia,0.324279445640233,67.9858,17.7878
1206093,0.4,34945,Scandinavia,0.359962040069898,67.6547,15.4285
67253,2.27,30462,Alaska,2.225470717362891,58.4433,-132.734
565784,0.18,23464,Arctic Canada South,0.212918987681404,62.1255,-66.3348
304189,0.37,25209,Alaska,0.361992634630896,68.2201,-154.496
1211208,0.71,109113,Scandinavia,0.926665559400371,67.1961,16.1534
1287813,0.26,106704,Scandinavia,0.343197158090977,60.0282,6.72233
1171098,0.2,35565,Scandinavia,0.229108215142169,69.7283,20.1286
11654,11.34,35066,Scandinavia,9.942451117679775,67.1017,16.2605
1174124,0.21,35534,Scandinavia,0.184408259879678,69.5337,19.9769
649854,0.52,27772,Alaska,1.630661562451865,59.9324,-141.189
65320,1.53,28996,Alaska,2.71731475871056,58.9762,-137.903
153404,1.05,33936,Scandinavia,1.131949597939292,61.8972,7.4742
1163195,0.2,109845,Scandinavia,0.175277904056293,70.3804,23.3165
1282471,0.81,107140,Scandinavia,0.977958667642001,60.7103,7.44102
879268,0.46,3411,Western Canada and USA,0.436865215559975,53.0228,-118.557
1278796,0.34,107382,Scandinavia,0.420762740150824,61.2089,7.93492
67120,1.89,29161,Alaska,4.155695340277132,58.5013,-136.914
1196759,0.24,35794,Scandinavia,0.261780305105569,68.2886,18.1662
65311,1.45,26187,Alaska,2.081867481282844,58.9598,-153.477
1268324,0.32,34062,Scandinavia,0.254222695763851,62.3163,7.65931
629452,0.68,101214,Alaska,1.06562844533953,60.4405,-144.26
1380110,0.96,95412,South Asia East,1.714281355529259,29.2916,96.8375
615438,0.7,32851,Alaska,17.6951532711,60.8109,-142.768
139568,1.26,109225,Scandinavia,1.383877225482856,67.952,16.7296
1206782,0.78,35092,Scandinavia,0.577870602424599,67.6003,16.3634
1274882,0.17,34362,Scandinavia,0.206825521276437,61.717,8.0626
1274618,0.22,33688,Scandinavia,0.208909851273933,61.7419,6.99699
314074,0.2,110689,Arctic Canada South,1.275740042215021,67.9467,-67.2508
1276401,0.55,107915,Scandinavia,0.646221989334393,61.542,8.31228
1091340,0.97,9246,Low Latitudes,0.973864992889855,-11.9396,-76.0035
665808,0.24,110205,Arctic Canada South,0.273292649551073,59.5365,-64.348
496047,0.94,24021,Arctic Canada South,1.033233047505966,63.9802,-65.6517
1287970,0.57,106772,Scandinavia,1.447736971877805,60.0045,7.05733
119220,1.34,8736,Low Latitudes,1.744095052467056,-8.99269,-77.669
753406,0.15,30805,Alaska,0.096920567869201,56.863,-130.879
1048616,0.58,1721,Western Canada and USA,0.685706635022592,43.3644,-109.645
1382003,0.59,92733,South Asia East,0.713917134834272,27.9517,87.9087
743734,0.67,31246,Alaska,3.148670290000775,57.192,-131.872
1164915,0.23,35748,Scandinavia,0.191979772031398,70.2418,22.0371
1090044,0.29,9300,Low Latitudes,0.447697085087221,-10.5531,-75.879
1202568,0.54,35436,Scandinavia,0.529711343199502,67.9235,18.5885
141020,1.24,109107,Scandinavia,1.196885218215351,67.3088,16.1029
1290452,0.19,106936,Scandinavia,0.26774252209681,59.7397,6.96031
176415,1.04,95156,South Asia East,1.061871139313222,29.229,96.1929
667533,0.19,110185,Arctic Canada South,0.225247204628059,59.4987,-64.2509
1210241,0.29,35334,Scandinavia,0.254289618491465,67.2949,18.0821
682050,0.83,29773,Alaska,1.572355991401273,59.0896,-135.427
1209698,0.54,35258,Scandinavia,0.42014996865159,67.3454,17.8024
1285948,0.51,33505,Scandinavia,0.459943974912899,60.2543,6.49543
1226374,0.29,108658,Scandinavia,0.927601438553405,65.7956,13.754
1380479,0.76,95136,South Asia East,0.777900860457684,29.0795,96.1461
1265084,0.66,108207,Scandinavia,0.740926094971431,62.5748,8.68171
1378236,0.64,95042,Central Asia,0.769336733483279,30.3922,95.8862
56583,5.19,31195,Alaska,8.677068856516424,61.1769,-152.81
746647,0.41,30491,Alaska,0.630106104922109,57.1011,-132.552
661405,0.53,110166,Arctic Canada South,0.587411308141266,59.6494,-64.1419
664544,0.91,110199,Arctic Canada South,1.06882945631589,59.5608,-64.4186
1223921,0.98,34823,Scandinavia,0.975795702840738,66.0034,14.18
1195346,0.41,109401,Scandinavia,0.47883204216436,68.3667,18.0507
821584,0.26,9835,Western Canada and USA,0.513355901299746,54.6551,-129.206
65827,1.27,30272,Alaska,2.63417327489819,58.8051,-133.838
1381915,0.23,93320,South Asia East,1.021784328014266,28.0147,90.3746
1232806,0.62,34729,Scandinavia,0.41914376804503,65.169,14.1416
1274781,0.26,107415,Scandinavia,0.249470310187701,61.7264,5.44088
1275270,0.59,34281,Scandinavia,0.460253055524543,61.6805,7.96081
1278516,0.67,117195,Scandinavia,1.306174374909733,61.2495,6.32477
701227,0.15,29161,Alaska,4.155695340277132,58.5013,-136.914
1274923,0.3,34220,Scandinavia,0.209842123658635,61.7126,7.89522
559649,0.17,110305,Arctic Canada South,0.197326816298448,62.2947,-66.4115
967967,0.55,6653,Western Canada and USA,0.492252608662592,49.7784,-122.476
1267064,0.44,108003,Scandinavia,0.53389877033963,62.4217,7.7698
710564,0.28,30486,Alaska,0.298059759353647,58.2294,-132.593
1283118,0.51,107074,Scandinavia,0.610233288146802,60.6198,7.20761
1205135,0.49,35050,Scandinavia,0.438998069322745,67.7281,16.2407
152926,1.1,34394,Scandinavia,1.207408778360346,62.0892,8.10952
