region_key,region_name,year,x_glacier_mwe_anomaly,y_lake_area_anomaly_z
alaska,Alaska,2000,1.2442519763779978,-0.8433076471922986
alaska,Alaska,2001,0.4280400094362184,-1.029676407921249
alaska,Alaska,2002,0.1788794731894656,-1.2500645342380283
alaska,Alaska,2003,0.0484349589300603,0.7470936548427575
alaska,Alaska,2004,-0.8559671792951308,1.001188914850965
alaska,Alaska,2005,-0.1357936960630269,0.9503562004508715
alaska,Alaska,2006,0.3459249809245034,-0.4917615237530704
alaska,Alaska,2007,0.1591846481983748,0.2526323758130129
alaska,Alaska,2008,1.1600811602766206,-0.426713733097339
alaska,Alaska,2009,-0.3383271634246206,1.4738513993232674
alaska,Alaska,2010,-0.1326754183524995,1.1298506216444255
alaska,Alaska,2011,0.1967778743606852,0.3410775223572697
alaska,Alaska,2012,1.3871884274114374,-2.31672156163067
alaska,Alaska,2013,-0.6912735803474696,-0.2228540765758762
alaska,Alaska,2014,-0.4247567061128422,0.1557697340627976
alaska,Alaska,2015,-0.1476615820755759,-0.4339913295165048
alaska,Alaska,2016,-0.3805811142344247,0.6529525388291382
alaska,Alaska,2017,-0.274601895616578,-0.1587929238554354
alaska,Alaska,2018,-0.5954228043731421,1.3149878261407522
alaska,Alaska,2019,-1.0425317119993505,1.3382895452715735
alaska,Alaska,2020,0.126582001257384,0.2595588086232229
alaska,Alaska,2021,0.3458526230652147,0.0483842972881322
alaska,Alaska,2022,-0.0748843893953309,-0.4023739166315241
alaska,Alaska,2023,-0.5267208921379717,0.206730482513308
arctic_canada_north,Arctic Canada North,2000,-0.1701266172430585,-0.6437584154551552
arctic_canada_north,Arctic Canada North,2001,0.0308029620658893,-1.050460951654747
arctic_canada_north,Arctic Canada North,2002,0.314833896026022,-1.0104809729865163
arctic_canada_north,Arctic Canada North,2003,0.1890574017817011,-0.40398115102328
arctic_canada_north,Arctic Canada North,2004,0.3824697553680356,-1.1515645971612618
arctic_canada_north,Arctic Canada North,2005,0.0281871921773969,0.8786069746693466
arctic_canada_north,Arctic Canada North,2006,0.1540907043887026,-0.0438392361865058
arctic_canada_north,Arctic Canada North,2007,-0.2790953506597053,1.44981747200804
arctic_canada_north,Arctic Canada North,2008,-0.2741978490000896,0.9887525044600416
arctic_canada_north,Arctic Canada North,2009,-0.1371026239195723,1.0775071338268345
arctic_canada_north,Arctic Canada North,2010,0.0003551402591805,2.2075318092876133
arctic_canada_north,Arctic Canada North,2011,-0.50884096720261,1.3092207869372905
arctic_canada_north,Arctic Canada North,2012,-0.4093996766023401,0.1978998306902576
arctic_canada_north,Arctic Canada North,2013,0.3697381603769794,-1.174269508271281
arctic_canada_north,Arctic Canada North,2014,0.1144284422603792,1.2587368860554358
arctic_canada_north,Arctic Canada North,2015,-0.2151498067048433,-0.6003022738907715
arctic_canada_north,Arctic Canada North,2016,0.0594178998090258,-0.4076727918639402
arctic_canada_north,Arctic Canada North,2017,0.3602344250904717,-1.0429243460799755
arctic_canada_north,Arctic Canada North,2018,0.4363109063440026,-1.2756914293768196
arctic_canada_north,Arctic Canada North,2019,-0.2770618417676078,-0.7124965444831208
arctic_canada_north,Arctic Canada North,2020,-0.2355487679057749,-0.3187099501371986
arctic_canada_north,Arctic Canada North,2021,0.271380686610159,-1.0433639409679487
arctic_canada_north,Arctic Canada North,2022,-0.0705008734381961,0.7681692650722464
arctic_canada_north,Arctic Canada North,2023,-0.1342831981141478,0.9015908255483978
arctic_canada_south,Arctic Canada South,2000,-0.2110281735629231,0.2864987545107378
arctic_canada_south,Arctic Canada South,2001,0.0287581247534297,-1.4470799574627065
arctic_canada_south,Arctic Canada South,2002,0.4324958573011574,-0.2645418463966735
