region_key,region_name,year,focal_variable,focal_label,x_residual,y_residual,x_raw,y_raw
alaska,Alaska,2000,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.5538447691154599,-0.36178976643563604,-1.369818557897907,-0.8433076471922986
alaska,Alaska,2001,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.5160235076230398,-1.0446820490624855,-0.6805355572145588,-1.029676407921249
alaska,Alaska,2002,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.5576206230355045,-1.196566520699018,-0.6738863038223029,-1.2500645342380283
alaska,Alaska,2003,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.5388270273500129,0.6577028160446893,-0.5074932817316347,0.7470936548427575
alaska,Alaska,2004,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.8457287637385532,0.3329176498761448,1.6185618925047498,1.001188914850965
alaska,Alaska,2005,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.4583539288919964,0.8975650787997862,0.5349780741734813,0.9503562004508715
alaska,Alaska,2006,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.3522495149605011,-0.17424839865744107,-0.7129894025186942,-0.4917615237530704
alaska,Alaska,2007,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.030489886334804962,0.050441806232756375,0.0357604194073921,0.2526323758130129
alaska,Alaska,2008,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.7597418347880859,0.1097929777937961,-1.5812136859433847,-0.426713733097339
alaska,Alaska,2009,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.36559470886725715,1.296676424239176,0.6046772624890213,1.4738513993232674
alaska,Alaska,2010,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.8134514364256402,0.7042064283439187,-0.4828326941685894,1.1298506216444255
alaska,Alaska,2011,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.8479239021940672,0.7016951419480071,-1.18121970070308,0.3410775223572697
alaska,Alaska,2012,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.10102951484196487,-1.542238817722266,-1.1720860787158598,-2.31672156163067
alaska,Alaska,2013,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.6407922622808175,-0.6697485601747575,1.1992313498423934,-0.2228540765758762
alaska,Alaska,2014,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.20612376282436567,0.225669190295456,-0.1031425960824172,0.1557697340627976
alaska,Alaska,2015,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.05114015671344674,-0.3108569346613537,-0.0903903383358164,-0.4339913295165048
alaska,Alaska,2016,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.4892299035892339,0.5063313215835065,0.7235339253496935,0.6529525388291382
alaska,Alaska,2017,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.028090434528589697,-0.0797284003672547,0.0674688407678116,-0.1587929238554354
alaska,Alaska,2018,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.2031295308305821,0.6785218170067246,0.4484581679924266,1.3149878261407522
alaska,Alaska,2019,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.9416284497381584,0.47187939404237667,1.921301785602292,1.3382895452715735
alaska,Alaska,2020,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.07964964788543569,0.4333942157325739,-0.0990088954168308,0.2595588086232229
alaska,Alaska,2021,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.29863125332974466,0.27226454246212145,0.0020024739202577,0.0483842972881322
alaska,Alaska,2022,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,1.1162624183764107,-0.10591044212832734,0.9305969047313232,-0.4023739166315241
alaska,Alaska,2023,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,0.26763369581127106,0.04504353853771065,0.5680459957702233,0.206730482513308
arctic_canada_north,Arctic Canada North,2000,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-2.0255288103158278,-0.7276673967315643,-1.914498692374464,-0.6437584154551552
arctic_canada_north,Arctic Canada North,2001,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.658916220121043,-1.070165389579242,-0.6685446841886509,-1.050460951654747
arctic_canada_north,Arctic Canada North,2002,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.12963489446622578,-0.8187706789223776,-0.3924030177533331,-1.0104809729865163
arctic_canada_north,Arctic Canada North,2003,warm_season_t2m_anomaly_c,Warm-season temperature anomaly,-0.7985156402709027,-0.2756088222993901,-0.9699122116394584,-0.40398115102328
