harmonized_class,metric,slope,intercept,r2,p_value,n
proglacial_contacted,median_ratio,0.0137056192849751,-27.17428546922675,0.4339167105203944,0.0003430441937231,25
proglacial_contacted,total_area_km2,1.3807547941728198,-2691.8353526940937,0.5083692207863588,6.332853715492881e-05,25
proglacial_detached,median_ratio,0.0048881570308455,-9.347127355338378,0.1531077827850738,0.0530874934173293,25
proglacial_detached,total_area_km2,1.238572968553339,-2265.0321905538567,0.1704424457947901,0.0402597960396671,25
supraglacial,median_ratio,-0.0024032290888302,5.018425802177083,0.0247330827660411,0.452790529666967,25
supraglacial,total_area_km2,-0.0407568987199465,87.89928133277218,0.0431730226121691,0.3189342985011422,25
